1024, 1.0, 'ordered', 'straight_insertion', 0.0
1024, 1.0, 'ordered', 'binary_insertion', 0.000997304916381836
1024, 1.0, 'ordered', 'straight_selection', 0.016954898834228516
1024, 1.0, 'ordered', 'bubble_sort', 0.03142070770263672
1024, 1.0, 'ordered', 'shaker_sort', 0.0
1024, 1.0, 'ordered', 'shell_sort_9531', 0.0009975433349609375
1024, 1.0, 'ordered', 'heap_sort', 0.001994609832763672
1024, 1.0, 'ordered', 'quick_sort', 0.0009970664978027344
1024, 1.0, 'ordered', 'quick_sort_non_recursive', 0.0
1024, 1.0, 'ordered', 'built_in_sort', 0.0
1024, 0.8, 'unordered_0.2', 'straight_insertion', 0.006981372833251953
1024, 0.8, 'unordered_0.2', 'binary_insertion', 0.003989219665527344
1024, 0.8, 'unordered_0.2', 'straight_selection', 0.016954660415649414
1024, 0.8, 'unordered_0.2', 'bubble_sort', 0.0359036922454834
1024, 0.8, 'unordered_0.2', 'shaker_sort', 0.008976221084594727
1024, 0.8, 'unordered_0.2', 'shell_sort_9531', 0.0019943714141845703
1024, 0.8, 'unordered_0.2', 'heap_sort', 0.0019948482513427734
1024, 0.8, 'unordered_0.2', 'quick_sort', 0.000997304916381836
1024, 0.8, 'unordered_0.2', 'quick_sort_non_recursive', 0.0
1024, 0.8, 'unordered_0.2', 'built_in_sort', 0.0
1024, 0.6, 'unordered_0.4', 'straight_insertion', 0.015957355499267578
1024, 0.6, 'unordered_0.4', 'binary_insertion', 0.007978439331054688
1024, 0.6, 'unordered_0.4', 'straight_selection', 0.016954898834228516
1024, 0.6, 'unordered_0.4', 'bubble_sort', 0.04388260841369629
1024, 0.6, 'unordered_0.4', 'shaker_sort', 0.021941184997558594
1024, 0.6, 'unordered_0.4', 'shell_sort_9531', 0.0029921531677246094
1024, 0.6, 'unordered_0.4', 'heap_sort', 0.0019948482513427734
1024, 0.6, 'unordered_0.4', 'quick_sort', 0.0009970664978027344
1024, 0.6, 'unordered_0.4', 'quick_sort_non_recursive', 0.000997304916381836
1024, 0.6, 'unordered_0.4', 'built_in_sort', 0.0
1024, 0.4, 'unordered_0.6', 'straight_insertion', 0.02094411849975586
1024, 0.4, 'unordered_0.6', 'binary_insertion', 0.010970830917358398
1024, 0.4, 'unordered_0.6', 'straight_selection', 0.016954898834228516
1024, 0.4, 'unordered_0.6', 'bubble_sort', 0.04787135124206543
1024, 0.4, 'unordered_0.6', 'shaker_sort', 0.027925491333007812
1024, 0.4, 'unordered_0.6', 'shell_sort_9531', 0.0029921531677246094
1024, 0.4, 'unordered_0.6', 'heap_sort', 0.0019948482513427734
1024, 0.4, 'unordered_0.6', 'quick_sort', 0.000997304916381836
1024, 0.4, 'unordered_0.6', 'quick_sort_non_recursive', 0.000997304916381836
1024, 0.4, 'unordered_0.6', 'built_in_sort', 0.0
1024, 0.2, 'unordered_0.8', 'straight_insertion', 0.026927947998046875
1024, 0.2, 'unordered_0.8', 'binary_insertion', 0.01296544075012207
1024, 0.2, 'unordered_0.8', 'straight_selection', 0.016954898834228516
1024, 0.2, 'unordered_0.8', 'bubble_sort', 0.05285835266113281
1024, 0.2, 'unordered_0.8', 'shaker_sort', 0.036901235580444336
1024, 0.2, 'unordered_0.8', 'shell_sort_9531', 0.003989219665527344
1024, 0.2, 'unordered_0.8', 'heap_sort', 0.0019943714141845703
